please continue straight	براہ کرم سیدھے جاتے رہیں
kindly stop here	مہربانی فرما کر یہاں روکیں
kindly how much is the ticket?	مہربانی فرما کر ٹکٹ کتنے کا ہے؟
kindly how are you?	مہربانی فرما کر آپ کیسے ہیں؟
see you later	پھر ملیں گے
kindly slow down	مہربانی فرما کر آہستہ چلیں
sir, what is your name?	جناب، آپ کا نام کیا ہے؟
madam, i am happy	محترمہ، میں خوش ہوں
sir, slow down	جناب، آہستہ چلیں
please how are you?	براہ کرم آپ کیسے ہیں؟
kindly madam, can you help?	مہربانی فرما کر محترمہ، کیا آپ مدد کر سکتی ہیں؟
kindly please show me the way	مہربانی فرما کر راستہ بتا دیں
kindly no problem	مہربانی فرما کر کوئی مسئلہ نہیں
madam, i am busy	محترمہ، میں مصروف ہوں
sir, i am fine	جناب، میں ٹھیک ہوں
how much is this?	یہ کتنے کا ہے؟
madam, what time is it?	محترمہ، کیا وقت ہوا ہے؟
please islamabad is beautiful	براہ کرم اسلام آباد بہت خوبصورت ہے
sir, that's great	جناب، یہ بہت اچھا ہے
kindly chai please	مہربانی فرما کر چائے چاہیے
please i am tired	براہ کرم میں تھک گیا ہوں
kindly turn left	مہربانی فرما کر بائیں مڑیں
kindly go straight	مہربانی فرما کر سیدھا جائیں
load shedding is happening	لوڈ شیڈنگ ہو رہی ہے
please take care	براہ کرم اپنا خیال رکھنا
sir, call a taxi	جناب، ٹیکسی بلائیں
madam, i am fine	محترمہ، میں ٹھیک ہوں
please show me the way	براہ کرم راستہ بتا دیں
sir, who are you?	جناب، آپ کون ہیں؟
madam, where do you live?	محترمہ، آپ کہاں رہتے ہیں؟
what is your name?	آپ کا نام کیا ہے؟
maybe	شاید
i love biryani	مجھے بریانی پسند ہے
madam, why is it expensive?	محترمہ، یہ مہنگا کیوں ہے؟
water?	پانی؟
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
madam, no problem	محترمہ، کوئی مسئلہ نہیں
kindly turn left	مہربانی فرما کر بائیں مڑیں
who are you?	آپ کون ہیں؟
okay	ٹھیک ہے
stop here	یہاں روکیں
kindly no problem	مہربانی فرما کر کوئی مسئلہ نہیں
kindly i am sad	مہربانی فرما کر میں اداس ہوں
madam, where is the bus stop?	محترمہ، بس اسٹاپ کہاں ہے؟
please good evening	براہ کرم شام بخیر
kindly stop here	مہربانی فرما کر یہاں روکیں
madam, sir, can you help?	محترمہ، جناب، کیا آپ مدد کر سکتے ہیں؟
kindly lahore food is amazing	مہربانی فرما کر لاہور کا کھانا لاجواب ہے
i don't know	مجھے نہیں معلوم
madam, how can i go there?	محترمہ، میں وہاں کیسے جا سکتا ہوں؟
tea?	چائے؟
please i like cricket	براہ کرم مجھے کرکٹ پسند ہے
please electricity is gone	براہ کرم بجلی چلی گئی ہے
kindly electricity is gone	مہربانی فرما کر بجلی چلی گئی ہے
madam, why is it expensive?	محترمہ، یہ مہنگا کیوں ہے؟
good night	شب بخیر
goodbye	اللہ حافظ
please show me the way	براہ کرم راستہ بتائیں
slow down	آہستہ چلیں
wait	انتظار کریں
see you later	پھر ملیں گے
please karachi traffic is bad	براہ کرم کراچی میں ٹریفک خراب ہے
sir, karachi traffic is bad	جناب، کراچی میں ٹریفک خراب ہے
kindly can you help me?	مہربانی فرما کر کیا آپ میری مدد کر سکتے ہیں؟
please i am happy	براہ کرم میں خوش ہوں
kindly assalam o alaikum	مہربانی فرما کر السلام علیکم
where is the hotel?	ہوٹل کہاں ہے؟
kindly slow down	مہربانی فرما کر آہستہ چلیں
thanks	شکریہ
kindly show me the way	مہربانی فرما کر راستہ بتائیں
kindly show me the way	مہربانی فرما کر راستہ بتائیں
maybe	شاید
kindly i like cricket	مہربانی فرما کر مجھے کرکٹ پسند ہے
madam, see you later	محترمہ، پھر ملیں گے
madam, please speak slowly	محترمہ، آہستہ بولیں
slow down	آہستہ چلیں
islamabad?	اسلام آباد؟
madam, assalam o alaikum	محترمہ، السلام علیکم
i am sad	میں اداس ہوں
sir, good evening	جناب، شام بخیر
sir, i am busy	جناب، میں مصروف ہوں
thanks	شکریہ
please stop here	براہ کرم یہاں روکیں
kindly i am tired	مہربانی فرما کر میں تھک گیا ہوں
sorry	معاف کیجیے
madam, i don't know	محترمہ، مجھے نہیں معلوم
sir, turn right	جناب، دائیں مڑیں
what do you want?	آپ کیا چاہتے ہیں؟
please i love biryani	براہ کرم مجھے بریانی پسند ہے
please turn right	براہ کرم دائیں مڑیں
kindly go straight	مہربانی فرما کر سیدھا جائیں
kindly i am happy	مہربانی فرما کر میں خوش ہوں
sir, show me the way	جناب، راستہ بتائیں
kindly how are you?	مہربانی فرما کر آپ کیسے ہیں؟
sir, how much is this?	جناب، یہ کتنے کا ہے؟
call a taxi	ٹیکسی بلائیں
madam, well played	محترمہ، اچھا کھیلا
please slow down	براہ کرم آہستہ چلیں
sir, turn left	جناب، بائیں مڑیں
please good night	براہ کرم شب بخیر
madam, show me the way	محترمہ، راستہ بتائیں
kindly continue straight	مہربانی فرما کر سیدھے جاتے رہیں
sir, how are you?	جناب، آپ کیسے ہیں؟
madam, is there free wifi?	محترمہ، کیا مفت وائی فائی ہے؟
i am tired	میں تھک گیا ہوں
please turn left	براہ کرم بائیں مڑیں
madam, where is the bus stop?	محترمہ، بس اسٹاپ کہاں ہے؟
where is the hotel?	ہوٹل کہاں ہے؟
madam, where is the hotel?	محترمہ، ہوٹل کہاں ہے؟
good evening	شام بخیر
excuse me	معاف کیجیے گا
kindly please show me the way	مہربانی فرما کر راستہ بتا دیں
madam, turn right	محترمہ، دائیں مڑیں
please stop here	براہ کرم یہاں روکیں
good night	شب بخیر
kindly where is the mosque?	مہربانی فرما کر مسجد کہاں ہے؟
sir, excuse me	جناب، معاف کیجیے گا
sir, please reduce the price	جناب، قیمت کم کریں
sir, what do you want?	جناب، آپ کیا چاہتے ہیں؟
sir, please reduce the price	جناب، قیمت کم کریں
sir, what is this?	جناب، یہ کیا ہے؟
please i am sad	براہ کرم میں اداس ہوں
please i love biryani	براہ کرم مجھے بریانی پسند ہے
kindly how are you?	مہربانی فرما کر آپ کیسے ہیں؟
kindly slow down	مہربانی فرما کر آہستہ چلیں
sir, how can i go there?	جناب، میں وہاں کیسے جا سکتا ہوں؟
good evening	شام بخیر
sir, chai please	جناب، چائے چاہیے
madam, that's great	محترمہ، یہ بہت اچھا ہے
please where is the mosque?	براہ کرم مسجد کہاں ہے؟
madam, electricity is gone	محترمہ، بجلی چلی گئی ہے
please	براہ کرم
please how much is the ticket?	براہ کرم ٹکٹ کتنے کا ہے؟
sir, what is your name?	جناب، آپ کا نام کیا ہے؟
sir, stop here	جناب، یہاں روکیں
yes	جی ہاں
madam, good evening	محترمہ، شام بخیر
good morning	صبح بخیر
kindly good evening	مہربانی فرما کر شام بخیر
i am tired	میں تھک گیا ہوں
madam, good night	محترمہ، شب بخیر
kindly call a taxi	مہربانی فرما کر ٹیکسی بلائیں
kindly excuse me	مہربانی فرما کر معاف کیجیے گا
i am happy	میں خوش ہوں
tea?	چائے؟
kindly thank you very much	مہربانی فرما کر بہت شکریہ
please do you speak urdu?	براہ کرم کیا آپ اردو بولتے ہیں؟
madam, who are you?	محترمہ، آپ کون ہیں؟
kindly i love biryani	مہربانی فرما کر مجھے بریانی پسند ہے
can you help me?	کیا آپ میری مدد کر سکتے ہیں؟
sir, islamabad is beautiful	جناب، اسلام آباد بہت خوبصورت ہے
kindly good night	مہربانی فرما کر شب بخیر
please turn right	براہ کرم دائیں مڑیں
sir, i don't know	جناب، مجھے نہیں معلوم
please is there free wifi?	براہ کرم کیا مفت وائی فائی ہے؟
kindly please show me the way	مہربانی فرما کر راستہ بتا دیں
madam, stop here	محترمہ، یہاں روکیں
madam, islamabad is beautiful	محترمہ، اسلام آباد بہت خوبصورت ہے
madam, how much is this?	محترمہ، یہ کتنے کا ہے؟
please kindly guide me	براہ کرم رہنمائی کریں
kindly how can i go there?	مہربانی فرما کر میں وہاں کیسے جا سکتا ہوں؟
excuse me	معاف کیجیے گا
kindly take care	مہربانی فرما کر اپنا خیال رکھنا
hello	ہیلو
i am fine	میں ٹھیک ہوں
sir, excuse me	جناب، معاف کیجیے گا
mosque?	مسجد؟
kindly please speak slowly	مہربانی فرما کر آہستہ بولیں
please what is your name?	براہ کرم آپ کا نام کیا ہے؟
please please speak slowly	براہ کرم آہستہ بولیں
madam, see you later	محترمہ، پھر ملیں گے
please good night	براہ کرم شب بخیر
that's great	یہ بہت اچھا ہے
wait	انتظار کریں
madam, good evening	محترمہ، شام بخیر
kindly load shedding is happening	مہربانی فرما کر لوڈ شیڈنگ ہو رہی ہے
thank you very much	بہت شکریہ
kindly well played	مہربانی فرما کر اچھا کھیلا
sir, lahore food is amazing	جناب، لاہور کا کھانا لاجواب ہے
madam, take care	محترمہ، اپنا خیال رکھنا
kindly how much is this?	مہربانی فرما کر یہ کتنے کا ہے؟
please what is your name?	براہ کرم آپ کا نام کیا ہے؟
what is this?	یہ کیا ہے؟
sir, continue straight	جناب، سیدھے جاتے رہیں
please lahore food is amazing	براہ کرم لاہور کا کھانا لاجواب ہے
turn left	بائیں مڑیں
go straight	سیدھا جائیں
please can you help me?	براہ کرم کیا آپ میری مدد کر سکتے ہیں؟
call a taxi	ٹیکسی بلائیں
madam, thank you very much	محترمہ، بہت شکریہ
sir, load shedding is happening	جناب، لوڈ شیڈنگ ہو رہی ہے
kindly where is the mosque?	مہربانی فرما کر مسجد کہاں ہے؟
sir, how much is the ticket?	جناب، ٹکٹ کتنے کا ہے؟
kindly i am tired	مہربانی فرما کر میں تھک گیا ہوں
stop	روکیں
kindly where can i find the market?	مہربانی فرما کر بازار کہاں ملے گا؟
sir, go straight	جناب، سیدھا جائیں
sir, chai please	جناب، چائے چاہیے
thanks	شکریہ
madam, i love biryani	محترمہ، مجھے بریانی پسند ہے
kindly sir, can you help?	مہربانی فرما کر جناب، کیا آپ مدد کر سکتے ہیں؟
please reduce the price	براہ کرم قیمت کم کریں
sir, what time is it?	جناب، کیا وقت ہوا ہے؟
okay	ٹھیک ہے
kindly please speak slowly	مہربانی فرما کر آہستہ بولیں
please what is your name?	براہ کرم آپ کا نام کیا ہے؟
madam, assalam o alaikum	محترمہ، السلام علیکم
sir, no problem	جناب، کوئی مسئلہ نہیں
kindly turn right	مہربانی فرما کر دائیں مڑیں
kindly show me the way	مہربانی فرما کر راستہ بتائیں
wifi?	وائی فائی؟
that's great	یہ بہت اچھا ہے
madam, turn left	محترمہ، بائیں مڑیں
kindly turn left	مہربانی فرما کر بائیں مڑیں
kindly see you later	مہربانی فرما کر پھر ملیں گے
please lahore food is amazing	براہ کرم لاہور کا کھانا لاجواب ہے
please how can i go there?	براہ کرم میں وہاں کیسے جا سکتا ہوں؟
please pakistan won the match	براہ کرم پاکستان نے میچ جیت لیا
madam, load shedding is happening	محترمہ، لوڈ شیڈنگ ہو رہی ہے
please please show me the way	براہ کرم راستہ بتا دیں
please madam, can you help?	براہ کرم محترمہ، کیا آپ مدد کر سکتی ہیں؟
please take care	براہ کرم اپنا خیال رکھنا
how much is this?	یہ کتنے کا ہے؟
weather?	موسم؟
madam, go straight	محترمہ، سیدھا جائیں
kindly what do you want?	مہربانی فرما کر آپ کیا چاہتے ہیں؟
bus?	بس؟
turn right	دائیں مڑیں
where do you live?	آپ کہاں رہتے ہیں؟
please what do you want?	براہ کرم آپ کیا چاہتے ہیں؟
i love biryani	مجھے بریانی پسند ہے
madam, good morning	محترمہ، صبح بخیر
sir, i am happy	جناب، میں خوش ہوں
sir, do you speak urdu?	جناب، کیا آپ اردو بولتے ہیں؟
kindly where is the taxi stand?	مہربانی فرما کر ٹیکسی اسٹینڈ کہاں ہے؟
take care	اپنا خیال رکھنا
please do you speak urdu?	براہ کرم کیا آپ اردو بولتے ہیں؟
where can i find the market?	بازار کہاں ملے گا؟
no problem	کوئی مسئلہ نہیں
please show me the way	براہ کرم راستہ بتائیں
kindly good evening	مہربانی فرما کر شام بخیر
sir, stop here	جناب، یہاں روکیں
madam, i am fine	محترمہ، میں ٹھیک ہوں
sir, see you later	جناب، پھر ملیں گے
please	براہ کرم
please well played	براہ کرم اچھا کھیلا
please is there free wifi?	براہ کرم کیا مفت وائی فائی ہے؟
madam, what time is it?	محترمہ، کیا وقت ہوا ہے؟
kindly good morning	مہربانی فرما کر صبح بخیر
please pakistan won the match	براہ کرم پاکستان نے میچ جیت لیا
please good morning	براہ کرم صبح بخیر
continue straight	سیدھے جاتے رہیں
sir, please show me the way	جناب، راستہ بتا دیں
alright	ٹھیک ہے
ticket?	ٹکٹ؟
lahore?	لاہور؟
please is there free wifi?	براہ کرم کیا مفت وائی فائی ہے؟
sir, please speak slowly	جناب، آہستہ بولیں
sir, excuse me	جناب، معاف کیجیے گا
kindly what time is it?	مہربانی فرما کر کیا وقت ہوا ہے؟
please kindly guide me	براہ کرم رہنمائی کریں
tea?	چائے؟
sir, i am tired	جناب، میں تھک گیا ہوں
sir, i am happy	جناب، میں خوش ہوں
please i am busy	براہ کرم میں مصروف ہوں
sir, where is the mosque?	جناب، مسجد کہاں ہے؟
kindly good night	مہربانی فرما کر شب بخیر
call a taxi	ٹیکسی بلائیں
madam, continue straight	محترمہ، سیدھے جاتے رہیں
kindly well played	مہربانی فرما کر اچھا کھیلا
stop	روکیں
sir, assalam o alaikum	جناب، السلام علیکم
sir, that's great	جناب، یہ بہت اچھا ہے
madam, take care	محترمہ، اپنا خیال رکھنا
sir, call a taxi	جناب، ٹیکسی بلائیں
sir, can you help me?	جناب، کیا آپ میری مدد کر سکتے ہیں؟
madam, do you speak urdu?	محترمہ، کیا آپ اردو بولتے ہیں؟
sir, i don't know	جناب، مجھے نہیں معلوم
sir, i am tired	جناب، میں تھک گیا ہوں
sir, i love biryani	جناب، مجھے بریانی پسند ہے
lahore food is amazing	لاہور کا کھانا لاجواب ہے
kindly what is this?	مہربانی فرما کر یہ کیا ہے؟
what time is it?	کیا وقت ہوا ہے؟
kindly i am tired	مہربانی فرما کر میں تھک گیا ہوں
madam, continue straight	محترمہ، سیدھے جاتے رہیں
karachi traffic is bad	کراچی میں ٹریفک خراب ہے
sir, well played	جناب، اچھا کھیلا
madam, show me the way	محترمہ، راستہ بتائیں
what is your name?	آپ کا نام کیا ہے؟
madam, how much is the ticket?	محترمہ، ٹکٹ کتنے کا ہے؟
islamabad?	اسلام آباد؟
goodbye	اللہ حافظ
kindly excuse me	مہربانی فرما کر معاف کیجیے گا
kindly that's great	مہربانی فرما کر یہ بہت اچھا ہے
where do you live?	آپ کہاں رہتے ہیں؟
kindly how much is this?	مہربانی فرما کر یہ کتنے کا ہے؟
please i like cricket	براہ کرم مجھے کرکٹ پسند ہے
market?	بازار؟
kindly what is your name?	مہربانی فرما کر آپ کا نام کیا ہے؟
madam, i am busy	محترمہ، میں مصروف ہوں
who are you?	آپ کون ہیں؟
please assalam o alaikum	براہ کرم السلام علیکم
kindly can you help me?	مہربانی فرما کر کیا آپ میری مدد کر سکتے ہیں؟
please i am sad	براہ کرم میں اداس ہوں
please how much is this?	براہ کرم یہ کتنے کا ہے؟
how are you?	آپ کیسے ہیں؟
madam, thank you very much	محترمہ، بہت شکریہ
show me the way	راستہ بتائیں
please go straight	براہ کرم سیدھا جائیں
good evening	شام بخیر
mosque?	مسجد؟
what is this?	یہ کیا ہے؟
madam, where can i find the market?	محترمہ، بازار کہاں ملے گا؟
kindly karachi traffic is bad	مہربانی فرما کر کراچی میں ٹریفک خراب ہے
bus?	بس؟
madam, i am happy	محترمہ، میں خوش ہوں
kindly how much is this?	مہربانی فرما کر یہ کتنے کا ہے؟
kindly call a taxi	مہربانی فرما کر ٹیکسی بلائیں
sir, stop here	جناب، یہاں روکیں
how much is the ticket?	ٹکٹ کتنے کا ہے؟
sir, good night	جناب، شب بخیر
madam, please show me the way	محترمہ، راستہ بتا دیں
kindly i don't know	مہربانی فرما کر مجھے نہیں معلوم
i am busy	میں مصروف ہوں
madam, excuse me	محترمہ، معاف کیجیے گا
sir, go straight	جناب، سیدھا جائیں
please turn left	براہ کرم بائیں مڑیں
alright	ٹھیک ہے
weather?	موسم؟
please see you later	براہ کرم پھر ملیں گے
where is the bus stop?	بس اسٹاپ کہاں ہے؟
slow down	آہستہ چلیں
good morning	صبح بخیر
sir, turn right	جناب، دائیں مڑیں
weather?	موسم؟
madam, i am sad	محترمہ، میں اداس ہوں
kindly where is the bus stop?	مہربانی فرما کر بس اسٹاپ کہاں ہے؟
madam, i am tired	محترمہ، میں تھک گیا ہوں
kindly no problem	مہربانی فرما کر کوئی مسئلہ نہیں
where is the taxi stand?	ٹیکسی اسٹینڈ کہاں ہے؟
well played	اچھا کھیلا
sir, good morning	جناب، صبح بخیر
good morning	صبح بخیر
islamabad?	اسلام آباد؟
madam, please show me the way	محترمہ، راستہ بتا دیں
help?	مدد؟
sir, can you help?	جناب، کیا آپ مدد کر سکتے ہیں؟
please i don't know	براہ کرم مجھے نہیں معلوم
sir, good morning	جناب، صبح بخیر
yes	جی ہاں
sir, i am fine	جناب، میں ٹھیک ہوں
madam, how much is the ticket?	محترمہ، ٹکٹ کتنے کا ہے؟
madam, thank you very much	محترمہ، بہت شکریہ
sir, how are you?	جناب، آپ کیسے ہیں؟
madam, turn left	محترمہ، بائیں مڑیں
alright	ٹھیک ہے
sir, slow down	جناب، آہستہ چلیں
please excuse me	براہ کرم معاف کیجیے گا
hi	ہیلو
no problem	کوئی مسئلہ نہیں
bus?	بس؟
kindly good morning	مہربانی فرما کر صبح بخیر
hi	ہیلو
assalam o alaikum	السلام علیکم
sir, assalam o alaikum	جناب، السلام علیکم
madam, please show me the way	محترمہ، راستہ بتا دیں
kindly i love biryani	مہربانی فرما کر مجھے بریانی پسند ہے
sir, how much is the ticket?	جناب، ٹکٹ کتنے کا ہے؟
please stop here	براہ کرم یہاں روکیں
continue straight	سیدھے جاتے رہیں
sir, i am happy	جناب، میں خوش ہوں
hello	ہیلو
madam, who are you?	محترمہ، آپ کون ہیں؟
is there free wifi?	کیا مفت وائی فائی ہے؟
please electricity is gone	براہ کرم بجلی چلی گئی ہے
please slow down	براہ کرم آہستہ چلیں
sir, i am sad	جناب، میں اداس ہوں
please i am happy	براہ کرم میں خوش ہوں
continue straight	سیدھے جاتے رہیں
kindly turn right	مہربانی فرما کر دائیں مڑیں
sir, assalam o alaikum	جناب، السلام علیکم
pakistan won the match	پاکستان نے میچ جیت لیا
sir, pakistan won the match	جناب، پاکستان نے میچ جیت لیا
madam, can you help me?	محترمہ، کیا آپ میری مدد کر سکتے ہیں؟
please excuse me	براہ کرم معاف کیجیے گا
go straight	سیدھا جائیں
sir, is there free wifi?	جناب، کیا مفت وائی فائی ہے؟
direction?	سمت؟
sir, why is it expensive?	جناب، یہ مہنگا کیوں ہے؟
okay	ٹھیک ہے
madam, thank you very much	محترمہ، بہت شکریہ
madam, show me the way	محترمہ، راستہ بتائیں
kindly what time is it?	مہربانی فرما کر کیا وقت ہوا ہے؟
sir, assalam o alaikum	جناب، السلام علیکم
islamabad is beautiful	اسلام آباد بہت خوبصورت ہے
madam, continue straight	محترمہ، سیدھے جاتے رہیں
please what is this?	براہ کرم یہ کیا ہے؟
take care	اپنا خیال رکھنا
kindly assalam o alaikum	مہربانی فرما کر السلام علیکم
sir, continue straight	جناب، سیدھے جاتے رہیں
madam, go straight	محترمہ، سیدھا جائیں
weather?	موسم؟
sir, i am sad	جناب، میں اداس ہوں
madam, see you later	محترمہ، پھر ملیں گے
hotel?	ہوٹل؟
stop here	یہاں روکیں
madam, i am sad	محترمہ، میں اداس ہوں
please what time is it?	براہ کرم کیا وقت ہوا ہے؟
madam, turn right	محترمہ، دائیں مڑیں
madam, chai please	محترمہ، چائے چاہیے
madam, assalam o alaikum	محترمہ، السلام علیکم
madam, please show me the way	محترمہ، راستہ بتا دیں
madam, continue straight	محترمہ، سیدھے جاتے رہیں
market?	بازار؟
slow down	آہستہ چلیں
kindly what time is it?	مہربانی فرما کر کیا وقت ہوا ہے؟
i am busy	میں مصروف ہوں
kindly madam, can you help?	مہربانی فرما کر محترمہ، کیا آپ مدد کر سکتی ہیں؟
hi	ہیلو
sir, can you help me?	جناب، کیا آپ میری مدد کر سکتے ہیں؟
madam, where is the hotel?	محترمہ، ہوٹل کہاں ہے؟
please go straight	براہ کرم سیدھا جائیں
please excuse me	براہ کرم معاف کیجیے گا
go straight	سیدھا جائیں
how are you?	آپ کیسے ہیں؟
please take care	براہ کرم اپنا خیال رکھنا
where is the taxi stand?	ٹیکسی اسٹینڈ کہاں ہے؟
sir, show me the way	جناب، راستہ بتائیں
hello	ہیلو
thank you very much	بہت شکریہ
chai please	چائے چاہیے
sir, load shedding is happening	جناب، لوڈ شیڈنگ ہو رہی ہے
kindly see you later	مہربانی فرما کر پھر ملیں گے
please go straight	براہ کرم سیدھا جائیں
please thank you very much	براہ کرم بہت شکریہ
kindly what is your name?	مہربانی فرما کر آپ کا نام کیا ہے؟
kindly who are you?	مہربانی فرما کر آپ کون ہیں؟
kindly i don't know	مہربانی فرما کر مجھے نہیں معلوم
hotel?	ہوٹل؟
please i am happy	براہ کرم میں خوش ہوں
madam, where can i find the market?	محترمہ، بازار کہاں ملے گا؟
kindly show me the way	مہربانی فرما کر راستہ بتائیں
sir, who are you?	جناب، آپ کون ہیں؟
please where is the bus stop?	براہ کرم بس اسٹاپ کہاں ہے؟
please where do you live?	براہ کرم آپ کہاں رہتے ہیں؟
please please show me the way	براہ کرم راستہ بتا دیں
hello	ہیلو
please that's great	براہ کرم یہ بہت اچھا ہے
madam, go straight	محترمہ، سیدھا جائیں
is there free wifi?	کیا مفت وائی فائی ہے؟
please i am fine	براہ کرم میں ٹھیک ہوں
kindly excuse me	مہربانی فرما کر معاف کیجیے گا
sir, go straight	جناب، سیدھا جائیں
please why is it expensive?	براہ کرم یہ مہنگا کیوں ہے؟
kindly islamabad is beautiful	مہربانی فرما کر اسلام آباد بہت خوبصورت ہے
please what is this?	براہ کرم یہ کیا ہے؟
how can i go there?	میں وہاں کیسے جا سکتا ہوں؟
please excuse me	براہ کرم معاف کیجیے گا
alright	ٹھیک ہے
where is the bus stop?	بس اسٹاپ کہاں ہے؟
sir, electricity is gone	جناب، بجلی چلی گئی ہے
kindly is there free wifi?	مہربانی فرما کر کیا مفت وائی فائی ہے؟
madam, no problem	محترمہ، کوئی مسئلہ نہیں
where do you live?	آپ کہاں رہتے ہیں؟
please turn left	براہ کرم بائیں مڑیں
please please show me the way	براہ کرم راستہ بتا دیں
please sir, can you help?	براہ کرم جناب، کیا آپ مدد کر سکتے ہیں؟
sir, turn left	جناب، بائیں مڑیں
call a taxi	ٹیکسی بلائیں
okay	ٹھیک ہے
can you help me?	کیا آپ میری مدد کر سکتے ہیں؟
kindly pakistan won the match	مہربانی فرما کر پاکستان نے میچ جیت لیا
madam, chai please	محترمہ، چائے چاہیے
yes	جی ہاں
i don't know	مجھے نہیں معلوم
sir, thank you very much	جناب، بہت شکریہ
kindly what is this?	مہربانی فرما کر یہ کیا ہے؟
sir, what is your name?	جناب، آپ کا نام کیا ہے؟
what is your name?	آپ کا نام کیا ہے؟
kindly i am busy	مہربانی فرما کر میں مصروف ہوں
madam, go straight	محترمہ، سیدھا جائیں
madam, please speak slowly	محترمہ، آہستہ بولیں
madam, i am sad	محترمہ، میں اداس ہوں
how can i go there?	میں وہاں کیسے جا سکتا ہوں؟
please where can i find the market?	براہ کرم بازار کہاں ملے گا؟
great	بہترین
please i am fine	براہ کرم میں ٹھیک ہوں
kindly guide me	مہربانی فرما کر رہنمائی کریں
madam, continue straight	محترمہ، سیدھے جاتے رہیں
please where is the hotel?	براہ کرم ہوٹل کہاں ہے؟
kindly i like cricket	مہربانی فرما کر مجھے کرکٹ پسند ہے
sir, sir, can you help?	جناب، جناب، کیا آپ مدد کر سکتے ہیں؟
kindly i am busy	مہربانی فرما کر میں مصروف ہوں
please slow down	براہ کرم آہستہ چلیں
sir, good night	جناب، شب بخیر
kindly turn right	مہربانی فرما کر دائیں مڑیں
madam, karachi traffic is bad	محترمہ، کراچی میں ٹریفک خراب ہے
sorry	معاف کیجیے
kindly please show me the way	مہربانی فرما کر راستہ بتا دیں
please sir, can you help?	براہ کرم جناب، کیا آپ مدد کر سکتے ہیں؟
market?	بازار؟
kindly i am fine	مہربانی فرما کر میں ٹھیک ہوں
madam, i am fine	محترمہ، میں ٹھیک ہوں
kindly turn right	مہربانی فرما کر دائیں مڑیں
please thank you very much	براہ کرم بہت شکریہ
kindly good morning	مہربانی فرما کر صبح بخیر
please i don't know	براہ کرم مجھے نہیں معلوم
sir, go straight	جناب، سیدھا جائیں
i am busy	میں مصروف ہوں
sir, i am busy	جناب، میں مصروف ہوں
kindly thank you very much	مہربانی فرما کر بہت شکریہ
please load shedding is happening	براہ کرم لوڈ شیڈنگ ہو رہی ہے
kindly assalam o alaikum	مہربانی فرما کر السلام علیکم
please no problem	براہ کرم کوئی مسئلہ نہیں
sir, what is this?	جناب، یہ کیا ہے؟
i am happy	میں خوش ہوں
stop	روکیں
sir, why is it expensive?	جناب، یہ مہنگا کیوں ہے؟
please i am busy	براہ کرم میں مصروف ہوں
kindly where is the taxi stand?	مہربانی فرما کر ٹیکسی اسٹینڈ کہاں ہے؟
assalam o alaikum	السلام علیکم
no problem	کوئی مسئلہ نہیں
