sir, good evening	جناب، شام بخیر
please electricity is gone	براہ کرم بجلی چلی گئی ہے
kindly electricity is gone	مہربانی فرما کر بجلی چلی گئی ہے
good night	شب بخیر
goodbye	اللہ حافظ
please show me the way	براہ کرم راستہ بتائیں
slow down	آہستہ چلیں
please karachi traffic is bad	براہ کرم کراچی میں ٹریفک خراب ہے
sir, karachi traffic is bad	جناب، کراچی میں ٹریفک خراب ہے
kindly can you help me?	مہربانی فرما کر کیا آپ میری مدد کر سکتے ہیں؟
please i am happy	براہ کرم میں خوش ہوں
kindly assalam o alaikum	مہربانی فرما کر السلام علیکم
where is the hotel?	ہوٹل کہاں ہے؟
thanks	شکریہ
kindly show me the way	مہربانی فرما کر راستہ بتائیں
kindly i like cricket	مہربانی فرما کر مجھے کرکٹ پسند ہے
madam, see you later	محترمہ، پھر ملیں گے
madam, please speak slowly	محترمہ، آہستہ بولیں
islamabad?	اسلام آباد؟
madam, assalam o alaikum	محترمہ، السلام علیکم
i am sad	میں اداس ہوں
sir, i am busy	جناب، میں مصروف ہوں
please stop here	براہ کرم یہاں روکیں
kindly i am tired	مہربانی فرما کر میں تھک گیا ہوں
sorry	معاف کیجیے
madam, i don't know	محترمہ، مجھے نہیں معلوم
sir, turn right	جناب، دائیں مڑیں
what do you want?	آپ کیا چاہتے ہیں؟
please i love biryani	براہ کرم مجھے بریانی پسند ہے
please turn right	براہ کرم دائیں مڑیں
kindly i am happy	مہربانی فرما کر میں خوش ہوں
sir, how much is this?	جناب، یہ کتنے کا ہے؟
call a taxi	ٹیکسی بلائیں
madam, well played	محترمہ، اچھا کھیلا
please slow down	براہ کرم آہستہ چلیں
sir, turn left	جناب، بائیں مڑیں
madam, show me the way	محترمہ، راستہ بتائیں
sir, how are you?	جناب، آپ کیسے ہیں؟
madam, is there free wifi?	محترمہ، کیا مفت وائی فائی ہے؟
i am tired	میں تھک گیا ہوں
please turn left	براہ کرم بائیں مڑیں
madam, where is the hotel?	محترمہ، ہوٹل کہاں ہے؟
excuse me	معاف کیجیے گا
madam, turn right	محترمہ، دائیں مڑیں
kindly where is the mosque?	مہربانی فرما کر مسجد کہاں ہے؟
sir, excuse me	جناب، معاف کیجیے گا
sir, please reduce the price	جناب، قیمت کم کریں
sir, what is this?	جناب، یہ کیا ہے؟
please i am sad	براہ کرم میں اداس ہوں
sir, how can i go there?	جناب، میں وہاں کیسے جا سکتا ہوں؟
sir, chai please	جناب، چائے چاہیے
madam, that's great	محترمہ، یہ بہت اچھا ہے
please where is the mosque?	براہ کرم مسجد کہاں ہے؟
madam, electricity is gone	محترمہ، بجلی چلی گئی ہے
please	براہ کرم
please how much is the ticket?	براہ کرم ٹکٹ کتنے کا ہے؟
sir, stop here	جناب، یہاں روکیں
yes	جی ہاں
madam, good evening	محترمہ، شام بخیر
good morning	صبح بخیر
kindly good evening	مہربانی فرما کر شام بخیر
madam, good night	محترمہ، شب بخیر
kindly excuse me	مہربانی فرما کر معاف کیجیے گا
i am happy	میں خوش ہوں
kindly thank you very much	مہربانی فرما کر بہت شکریہ
please do you speak urdu?	براہ کرم کیا آپ اردو بولتے ہیں؟
kindly i love biryani	مہربانی فرما کر مجھے بریانی پسند ہے
can you help me?	کیا آپ میری مدد کر سکتے ہیں؟
sir, islamabad is beautiful	جناب، اسلام آباد بہت خوبصورت ہے
kindly good night	مہربانی فرما کر شب بخیر
sir, i don't know	جناب، مجھے نہیں معلوم
please is there free wifi?	براہ کرم کیا مفت وائی فائی ہے؟
madam, stop here	محترمہ، یہاں روکیں
madam, islamabad is beautiful	محترمہ، اسلام آباد بہت خوبصورت ہے
please kindly guide me	براہ کرم رہنمائی کریں
kindly how can i go there?	مہربانی فرما کر میں وہاں کیسے جا سکتا ہوں؟
kindly take care	مہربانی فرما کر اپنا خیال رکھنا
hello	ہیلو
mosque?	مسجد؟
kindly please speak slowly	مہربانی فرما کر آہستہ بولیں
please what is your name?	براہ کرم آپ کا نام کیا ہے؟
please please speak slowly	براہ کرم آہستہ بولیں
that's great	یہ بہت اچھا ہے
thank you very much	بہت شکریہ
kindly well played	مہربانی فرما کر اچھا کھیلا
sir, lahore food is amazing	جناب، لاہور کا کھانا لاجواب ہے
madam, take care	محترمہ، اپنا خیال رکھنا
kindly how much is this?	مہربانی فرما کر یہ کتنے کا ہے؟
what is this?	یہ کیا ہے؟
sir, continue straight	جناب، سیدھے جاتے رہیں
please lahore food is amazing	براہ کرم لاہور کا کھانا لاجواب ہے
please can you help me?	براہ کرم کیا آپ میری مدد کر سکتے ہیں؟
madam, thank you very much	محترمہ، بہت شکریہ
sir, load shedding is happening	جناب، لوڈ شیڈنگ ہو رہی ہے
sir, how much is the ticket?	جناب، ٹکٹ کتنے کا ہے؟
stop	روکیں
kindly where can i find the market?	مہربانی فرما کر بازار کہاں ملے گا؟
madam, i love biryani	محترمہ، مجھے بریانی پسند ہے
kindly sir, can you help?	مہربانی فرما کر جناب، کیا آپ مدد کر سکتے ہیں؟
please reduce the price	براہ کرم قیمت کم کریں
sir, what time is it?	جناب، کیا وقت ہوا ہے؟
kindly turn right	مہربانی فرما کر دائیں مڑیں
wifi?	وائی فائی؟
madam, turn left	محترمہ، بائیں مڑیں
kindly see you later	مہربانی فرما کر پھر ملیں گے
please how can i go there?	براہ کرم میں وہاں کیسے جا سکتا ہوں؟
please pakistan won the match	براہ کرم پاکستان نے میچ جیت لیا
please please show me the way	براہ کرم راستہ بتا دیں
please madam, can you help?	براہ کرم محترمہ، کیا آپ مدد کر سکتی ہیں؟
weather?	موسم؟
madam, go straight	محترمہ، سیدھا جائیں
bus?	بس؟
turn right	دائیں مڑیں
where do you live?	آپ کہاں رہتے ہیں؟
please what do you want?	براہ کرم آپ کیا چاہتے ہیں؟
sir, i am happy	جناب، میں خوش ہوں
sir, do you speak urdu?	جناب، کیا آپ اردو بولتے ہیں؟
kindly where is the taxi stand?	مہربانی فرما کر ٹیکسی اسٹینڈ کہاں ہے؟
take care	اپنا خیال رکھنا
where can i find the market?	بازار کہاں ملے گا؟
no problem	کوئی مسئلہ نہیں
sir, see you later	جناب، پھر ملیں گے
kindly good morning	مہربانی فرما کر صبح بخیر
continue straight	سیدھے جاتے رہیں
alright	ٹھیک ہے
ticket?	ٹکٹ؟
lahore?	لاہور؟
sir, please speak slowly	جناب، آہستہ بولیں
kindly what time is it?	مہربانی فرما کر کیا وقت ہوا ہے؟
sir, i am tired	جناب، میں تھک گیا ہوں
please i am busy	براہ کرم میں مصروف ہوں
sir, where is the mosque?	جناب، مسجد کہاں ہے؟
madam, continue straight	محترمہ، سیدھے جاتے رہیں
sir, assalam o alaikum	جناب، السلام علیکم
sir, can you help me?	جناب، کیا آپ میری مدد کر سکتے ہیں؟
madam, do you speak urdu?	محترمہ، کیا آپ اردو بولتے ہیں؟
sir, i love biryani	جناب، مجھے بریانی پسند ہے
lahore food is amazing	لاہور کا کھانا لاجواب ہے
kindly what is this?	مہربانی فرما کر یہ کیا ہے؟
what time is it?	کیا وقت ہوا ہے؟
karachi traffic is bad	کراچی میں ٹریفک خراب ہے
sir, well played	جناب، اچھا کھیلا
madam, how much is the ticket?	محترمہ، ٹکٹ کتنے کا ہے؟
kindly that's great	مہربانی فرما کر یہ بہت اچھا ہے
market?	بازار؟
kindly what is your name?	مہربانی فرما کر آپ کا نام کیا ہے؟
please assalam o alaikum	براہ کرم السلام علیکم
please how much is this?	براہ کرم یہ کتنے کا ہے؟
show me the way	راستہ بتائیں
madam, where can i find the market?	محترمہ، بازار کہاں ملے گا؟
kindly karachi traffic is bad	مہربانی فرما کر کراچی میں ٹریفک خراب ہے
sir, good night	جناب، شب بخیر
madam, please show me the way	محترمہ، راستہ بتا دیں
kindly i don't know	مہربانی فرما کر مجھے نہیں معلوم
i am busy	میں مصروف ہوں
madam, excuse me	محترمہ، معاف کیجیے گا
please see you later	براہ کرم پھر ملیں گے
where is the bus stop?	بس اسٹاپ کہاں ہے؟
madam, i am sad	محترمہ، میں اداس ہوں
madam, i am tired	محترمہ، میں تھک گیا ہوں
where is the taxi stand?	ٹیکسی اسٹینڈ کہاں ہے؟
sir, good morning	جناب، صبح بخیر
help?	مدد؟
sir, can you help?	جناب، کیا آپ مدد کر سکتے ہیں؟
please i don't know	براہ کرم مجھے نہیں معلوم
please excuse me	براہ کرم معاف کیجیے گا
hi	ہیلو
is there free wifi?	کیا مفت وائی فائی ہے؟
sir, i am sad	جناب، میں اداس ہوں
pakistan won the match	پاکستان نے میچ جیت لیا
madam, can you help me?	محترمہ، کیا آپ میری مدد کر سکتے ہیں؟
sir, is there free wifi?	جناب، کیا مفت وائی فائی ہے؟
direction?	سمت؟
sir, why is it expensive?	جناب، یہ مہنگا کیوں ہے؟
islamabad is beautiful	اسلام آباد بہت خوبصورت ہے
please what is this?	براہ کرم یہ کیا ہے؟
hotel?	ہوٹل؟
please what time is it?	براہ کرم کیا وقت ہوا ہے؟
madam, chai please	محترمہ، چائے چاہیے
chai please	چائے چاہیے
please thank you very much	براہ کرم بہت شکریہ
kindly who are you?	مہربانی فرما کر آپ کون ہیں؟
please where is the bus stop?	براہ کرم بس اسٹاپ کہاں ہے؟
please where do you live?	براہ کرم آپ کہاں رہتے ہیں؟
please that's great	براہ کرم یہ بہت اچھا ہے
please i am fine	براہ کرم میں ٹھیک ہوں
please why is it expensive?	براہ کرم یہ مہنگا کیوں ہے؟
kindly islamabad is beautiful	مہربانی فرما کر اسلام آباد بہت خوبصورت ہے
how can i go there?	میں وہاں کیسے جا سکتا ہوں؟
sir, electricity is gone	جناب، بجلی چلی گئی ہے
please sir, can you help?	براہ کرم جناب، کیا آپ مدد کر سکتے ہیں؟
kindly pakistan won the match	مہربانی فرما کر پاکستان نے میچ جیت لیا
sir, thank you very much	جناب، بہت شکریہ
kindly i am busy	مہربانی فرما کر میں مصروف ہوں
please where can i find the market?	براہ کرم بازار کہاں ملے گا؟
great	بہترین
kindly guide me	مہربانی فرما کر رہنمائی کریں
sir, sir, can you help?	جناب، جناب، کیا آپ مدد کر سکتے ہیں؟
madam, karachi traffic is bad	محترمہ، کراچی میں ٹریفک خراب ہے
kindly i am fine	مہربانی فرما کر میں ٹھیک ہوں
please load shedding is happening	براہ کرم لوڈ شیڈنگ ہو رہی ہے
please no problem	براہ کرم کوئی مسئلہ نہیں
sir, where do you live?	جناب، آپ کہاں رہتے ہیں؟
sir, madam, can you help?	جناب، محترمہ، کیا آپ مدد کر سکتی ہیں؟
kindly kindly guide me	مہربانی فرما کر رہنمائی کریں
madam, what do you want?	محترمہ، آپ کیا چاہتے ہیں؟
electricity is gone	بجلی چلی گئی ہے
please where is the taxi stand?	براہ کرم ٹیکسی اسٹینڈ کہاں ہے؟
madam, madam, can you help?	محترمہ، محترمہ، کیا آپ مدد کر سکتی ہیں؟
madam, i like cricket	محترمہ، مجھے کرکٹ پسند ہے
karachi?	کراچی؟
madam, kindly guide me	محترمہ، رہنمائی کریں
madam, lahore food is amazing	محترمہ، لاہور کا کھانا لاجواب ہے
madam, slow down	محترمہ، آہستہ چلیں
madam, what is this?	محترمہ، یہ کیا ہے؟
kindly why is it expensive?	مہربانی فرما کر یہ مہنگا کیوں ہے؟
sir, i like cricket	جناب، مجھے کرکٹ پسند ہے
sir, take care	جناب، اپنا خیال رکھنا
madam, can you help?	محترمہ، کیا آپ مدد کر سکتی ہیں؟
sir, where is the hotel?	جناب، ہوٹل کہاں ہے؟
kindly please reduce the price	مہربانی فرما کر قیمت کم کریں
please please reduce the price	براہ کرم قیمت کم کریں
no	نہیں
where is the mosque?	مسجد کہاں ہے؟
madam, please reduce the price	محترمہ، قیمت کم کریں
kindly do you speak urdu?	مہربانی فرما کر کیا آپ اردو بولتے ہیں؟
please who are you?	براہ کرم آپ کون ہیں؟
sir, kindly guide me	جناب، رہنمائی کریں
i like cricket	مجھے کرکٹ پسند ہے
kindly where do you live?	مہربانی فرما کر آپ کہاں رہتے ہیں؟
do you speak urdu?	کیا آپ اردو بولتے ہیں؟
madam, call a taxi	محترمہ، ٹیکسی بلائیں
hey	ارے
greetings	آداب
how are you?	تم کیسے ہو؟
please how are you?	براہ کرم تم کیسے ہو؟
how are you	تم کیسے ہو
please how are you	براہ کرم تم کیسے ہو
i'm good	میں اچھا ہوں
please i'm good	براہ کرم میں اچھا ہوں
thank you	آپ کا شکریہ
please thank you	براہ کرم آپ کا شکریہ
thank you very much	آپ کا بہت شکریہ
please thank you very much	براہ کرم آپ کا بہت شکریہ
sorry	معاف کیجئے
excuse me	معاف کیجئے گا
please excuse me	براہ کرم معاف کیجئے گا
ok	ٹھیک ہے
good	اچھا
bad	برا
stop	رکو
wait	انتظار کرو
go	جاؤ
come here	یہاں آؤ
please come here	براہ کرم یہاں آؤ
help	مدد کرو
help me	میری مدد کرو
please help me	براہ کرم میری مدد کرو
i need help	مجھے مدد کی ضرورت ہے
please i need help	براہ کرم مجھے مدد کی ضرورت ہے
what is your name?	تمہارا نام کیا ہے؟
please what is your name?	براہ کرم تمہارا نام کیا ہے؟
my name is chatbot	میرا نام چیٹ بوٹ ہے
please my name is chatbot	براہ کرم میرا نام چیٹ بوٹ ہے
nice to meet you	آپ سے مل کر خوشی ہوئی
please nice to meet you	براہ کرم آپ سے مل کر خوشی ہوئی
where are you from?	آپ کہاں سے ہیں؟
please where are you from?	براہ کرم آپ کہاں سے ہیں؟
i am from pakistan	میں پاکستان سے ہوں
please i am from pakistan	براہ کرم میں پاکستان سے ہوں
i live in karachi	میں کراچی میں رہتا ہوں
please i live in karachi	براہ کرم میں کراچی میں رہتا ہوں
i live in lahore	میں لاہور میں رہتا ہوں
please i live in lahore	براہ کرم میں لاہور میں رہتا ہوں
i live in islamabad	میں اسلام آباد میں رہتا ہوں
please i live in islamabad	براہ کرم میں اسلام آباد میں رہتا ہوں
call a taxi	ٹیکسی بلاؤ
please call a taxi	براہ کرم ٹیکسی بلاؤ
stop the car	گاڑی روکو
please stop the car	براہ کرم گاڑی روکو
too expensive	بہت مہنگا ہے
please too expensive	براہ کرم بہت مہنگا ہے
lower the price	قیمت کم کریں
please lower the price	براہ کرم قیمت کم کریں
i want water	مجھے پانی چاہیے
please i want water	براہ کرم مجھے پانی چاہیے
i want food	مجھے کھانا چاہیے
please i want food	براہ کرم مجھے کھانا چاہیے
i am hungry	مجھے بھوک لگی ہے
please i am hungry	براہ کرم مجھے بھوک لگی ہے
i am thirsty	مجھے پیاس لگی ہے
please i am thirsty	براہ کرم مجھے پیاس لگی ہے
today is hot	آج گرمی ہے
please today is hot	براہ کرم آج گرمی ہے
today is cold	آج سردی ہے
please today is cold	براہ کرم آج سردی ہے
it is raining	بارش ہو رہی ہے
please it is raining	براہ کرم بارش ہو رہی ہے
i am learning urdu	میں اردو سیکھ رہا ہوں
please i am learning urdu	براہ کرم میں اردو سیکھ رہا ہوں
i speak english	میں انگریزی بولتا ہوں
please i speak english	براہ کرم میں انگریزی بولتا ہوں
i don't understand	مجھے سمجھ نہیں آئی
please i don't understand	براہ کرم مجھے سمجھ نہیں آئی
say it again	دوبارہ کہو
please say it again	براہ کرم دوبارہ کہو
speak slowly	آہستہ بولو
please speak slowly	براہ کرم آہستہ بولو
who are you?	تم کون ہو؟
please who are you?	براہ کرم تم کون ہو؟
i am an ai	میں ایک مصنوعی ذہانت ہوں
please i am an ai	براہ کرم میں ایک مصنوعی ذہانت ہوں
tell me a joke	مجھے کوئی لطیفہ سناؤ
please tell me a joke	براہ کرم مجھے کوئی لطیفہ سناؤ
bye	خدا حافظ
have a nice day	آپ کا دن اچھا گزرے
please have a nice day	براہ کرم آپ کا دن اچھا گزرے
you are welcome	خوش آمدید
please you are welcome	براہ کرم خوش آمدید
see you	پھر ملیں گے
please see you	براہ کرم پھر ملیں گے
where are you?	تم کہاں ہو؟
please where are you?	براہ کرم تم کہاں ہو؟
when will you come?	تم کب آؤ گے؟
please when will you come?	براہ کرم تم کب آؤ گے؟
why are you sad?	تم کیوں اداس ہو؟
please why are you sad?	براہ کرم تم کیوں اداس ہو؟
how do you do?	تم کیسے ہو؟
please how do you do?	براہ کرم تم کیسے ہو؟
where do you live?	تم کہاں رہتے ہو؟
please where do you live?	براہ کرم تم کہاں رہتے ہو؟
what do you want?	تم کیا چاہتے ہو؟
please what do you want?	براہ کرم تم کیا چاہتے ہو؟
who is he?	وہ کون ہے؟
please who is he?	براہ کرم وہ کون ہے؟
go on	جاری رکھو
please go on	براہ کرم جاری رکھو
tell me more	مجھے مزید بتاؤ
please tell me more	براہ کرم مجھے مزید بتاؤ
let's have tea	چائے پیتے ہیں
please let's have tea	براہ کرم چائے پیتے ہیں
the traffic is bad	ٹریفک بہت خراب ہے
please the traffic is bad	براہ کرم ٹریفک بہت خراب ہے
kindly please thank you very much	مہربانی کریں بہت شکریہ
please please help	براہ کرم براہ کرم مدد کریں
please sorry	براہ کرم معاف کیجیے گا
kindly please turn left	مہربانی کریں بائیں مڑیں
wait please	انتظار کریں
please kindly closed?	براہ مہربانی بند؟
sir, i appreciate your help	جناب، میں آپ کی مدد کی قدر کرتا ہوں
welcome	خوش آمدید
please stay on this road	براہ کرم اسی سڑک پر رہیں
kindly please restaurant nearby?	مہربانی کریں قریب کوئی ریستوران؟؟
kindly please direction?	مہربانی کریں راستہ؟
kindly i appreciate your help	مہربانی فرما کر میں آپ کی مدد کی قدر کرتا ہوں
open?	کھلا؟
far from here	یہاں سے دور
final price	آخری قیمت
kindly please second exit	مہربانی کریں دوسرا نکاس
please please speak slowly	براہ کرم براہ کرم آہستہ بولیں
please please quickly	براہ کرم جلدی براہ کرم
please ticket?	براہ کرم ٹکٹ؟
give me a discount	مجھے رعایت دیں
madam, near the mall	محترمہ، مال کے قریب
madam, i appreciate your help	محترمہ، میں آپ کی مدد کی قدر کرتا ہوں
please i appreciate your help	براہ کرم میں آپ کی مدد کی قدر کرتا ہوں
madam, ticket?	محترمہ، ٹکٹ؟
kindly please what is your best price?	مہربانی کریں آپ کی بہترین قیمت کیا ہے؟؟
turn back	واپس مڑیں
please kindly ticket?	براہ مہربانی ٹکٹ؟
kindly please speak slowly	مہربانی فرما کر براہ کرم آہستہ بولیں
madam, turn right	محترمہ، دائیں
please kindly give me a discount	براہ مہربانی مجھے رعایت دیں
kindly please open?	مہربانی کریں کھلا؟؟
please kindly i appreciate your help	براہ مہربانی میں آپ کی مدد کی قدر کرتا ہوں
kindly please sir, please	مہربانی کریں جناب، براہ کرم
madam, near	محترمہ، قریب
madam, follow the signs	محترمہ، نشانات کی پیروی کریں
kindly please can you make it cheaper?	مہربانی کریں کیا آپ اسے سستا کر سکتے ہیں؟؟
madam, please speak slowly	محترمہ، براہ کرم آہستہ بولیں
far	دور
kindly ticket?	مہربانی فرما کر ٹکٹ؟
kindly this is my budget	مہربانی فرما کر یہ میرا بجٹ ہے
kindly please please quickly	مہربانی کریں جلدی براہ کرم
kindly direction?	مہربانی فرما کر راستہ؟
urgent	فوری
please kindly wifi?	براہ مہربانی وائی فائی؟
please kindly turn left	براہ مہربانی بائیں مڑیں
madam, restaurant nearby?	محترمہ، قریب کوئی ریستوران؟
kindly second exit	مہربانی فرما کر دوسرا نکاس
please please be fair	براہ کرم براہ کرم منصف رہیں
please kindly turn left	براہ مہربانی بائیں
sir, straight ahead	جناب، سیدھا آگے
kindly please turn left	مہربانی کریں بائیں
sir, what is your best price?	جناب، آپ کی بہترین قیمت کیا ہے؟
kindly please reduce the price please	مہربانی کریں براہ کرم قیمت کم کریں
sir, ticket?	جناب، ٹکٹ؟
sir, take a u-turn	جناب، یو ٹرن لیں
please kindly thank you very much	براہ مہربانی بہت شکریہ
please be fair	براہ کرم منصف رہیں
kindly please near the mall	مہربانی کریں مال کے قریب
please kindly price?	براہ مہربانی قیمت؟
please wifi?	براہ کرم وائی فائی؟
please far	براہ کرم دور
kindly sir, please	مہربانی فرما کر جناب، براہ کرم
kindly excuse me	مہربانی فرما کر معاف کیجیے
kindly please final price	مہربانی کریں آخری قیمت
kindly take a u-turn	مہربانی فرما کر یو ٹرن لیں
kindly please madam, please	مہربانی کریں محترمہ، براہ کرم
kindly please wifi?	مہربانی کریں وائی فائی؟
please reduce the price please	براہ کرم براہ کرم قیمت کم کریں
sir, near	جناب، قریب
excuse me	معاف کیجیے
please kindly can you make it cheaper?	براہ مہربانی کیا آپ اسے سستا کر سکتے ہیں؟
sir, madam, please	جناب، محترمہ، براہ کرم
please open?	براہ کرم کھلا؟
please help	براہ کرم مدد کریں
sir, please be fair	جناب، براہ کرم منصف رہیں
kindly please this is my budget	مہربانی کریں یہ میرا بجٹ ہے
madam, open?	محترمہ، کھلا؟
kindly madam, please	مہربانی فرما کر محترمہ، براہ کرم
sir, open?	جناب، کھلا؟
sir, can you make it cheaper?	جناب، کیا آپ اسے سستا کر سکتے ہیں؟
please kindly restaurant nearby?	براہ مہربانی قریب کوئی ریستوران؟
kindly please follow the signs	مہربانی کریں نشانات کی پیروی کریں
please kindly wait please	براہ مہربانی انتظار کریں
kindly please please speak slowly	مہربانی کریں براہ کرم آہستہ بولیں
sir, turn right	جناب، دائیں
kindly straight ahead	مہربانی فرما کر سیدھا آگے
kindly welcome	مہربانی فرما کر خوش آمدید
kindly please open?	مہربانی کریں کھلا؟
please wait please	براہ کرم انتظار کریں
madam, what is your best price?	محترمہ، آپ کی بہترین قیمت کیا ہے؟
please kindly please quickly	براہ مہربانی جلدی براہ کرم
sir, far from here	جناب، یہاں سے دور
kindly please help?	مہربانی کریں مدد؟؟
please kindly kindly wait	براہ مہربانی مہربانی فرما کر انتظار کریں
please kindly welcome	براہ مہربانی خوش آمدید
near	قریب
please kindly far from here	براہ مہربانی یہاں سے دور
please kindly direction?	براہ مہربانی راستہ؟
kindly can you make it cheaper?	مہربانی فرما کر کیا آپ اسے سستا کر سکتے ہیں؟
please kindly what is your best price?	براہ مہربانی آپ کی بہترین قیمت کیا ہے؟
madam, price?	محترمہ، قیمت؟
please excuse me	براہ کرم معاف کیجیے
this is my budget	یہ میرا بجٹ ہے
please final rate?	براہ کرم آخری قیمت؟
sir, wait please	جناب، انتظار کریں
kindly please what is your best price?	مہربانی کریں آپ کی بہترین قیمت کیا ہے؟
madam, water?	محترمہ، پانی؟
please water?	براہ کرم پانی؟
sir, kindly wait	جناب، مہربانی فرما کر انتظار کریں
please kindly final rate?	براہ مہربانی آخری قیمت؟
kindly i can't pay more	مہربانی فرما کر میں مزید نہیں دے سکتا
please price?	براہ کرم قیمت؟
madam, turn left	محترمہ، بائیں
please final price	براہ کرم آخری قیمت
kindly turn right	مہربانی فرما کر دائیں
kindly please turn right	مہربانی کریں دائیں مڑیں
kindly near the mall	مہربانی فرما کر مال کے قریب
madam, help?	محترمہ، مدد؟
please far from here	براہ کرم یہاں سے دور
madam, reduce price	محترمہ، قیمت کم
kindly give me a discount	مہربانی فرما کر مجھے رعایت دیں
sir, market?	جناب، بازار؟
